City,Lat,Lng,Max Temp,Humidity,Cloudiness,Date,Wind Speed,Country
alice springs,-23.7,133.8833,60.8,48,0,1621130034,18.41,AU
okahandja,-21.9833,16.9167,51.8,46,0,1621130071,3.44,NA
belaya gora,68.5333,146.4167,39.83,70,100,1621130071,6.58,RU
cabo san lucas,22.8909,-109.9124,86.0,32,20,1621130072,11.5,MX
sakakah,29.9697,40.2064,73.4,13,0,1621130072,3.44,SA
kayes,14.0,-11.0,97.18,10,100,1621130072,5.19,ML
teya,60.3778,92.6267,36.19,50,63,1621130072,5.75,RU
arona,28.0996,-16.681,69.01,68,0,1621130073,5.75,ES
elizabeth city,36.2946,-76.2511,57.2,58,1,1621130073,8.05,US
araguacu,-12.9306,-49.8264,73.85,52,100,1621130073,4.27,BR
taltal,-25.4,-70.4833,64.62,78,2,1621130073,3.96,CL
saint anthony,45.0205,-93.218,66.2,51,1,1621130074,6.91,US
norden,53.6,7.2,48.0,93,98,1621130074,1.99,DE
loandjili,-4.7561,11.8578,80.6,94,75,1621130074,5.75,CG
talakan,50.3167,130.3667,59.67,48,9,1621130074,12.28,RU
eyl,7.9803,49.8164,82.74,69,100,1621130075,19.89,SO
camacupa,-12.0167,17.4833,54.72,68,7,1621130075,2.24,AO
upata,8.0086,-62.3989,80.01,78,62,1621130075,4.0,VE
ganzhou,28.8184,115.4327,76.84,90,100,1621130076,3.11,CN
north myrtle beach,33.816,-78.68,66.99,48,1,1621130076,5.75,US
takoradi,4.8845,-1.7554,79.86,83,100,1621130076,7.38,GH
matamoros,25.5333,-103.25,89.6,27,75,1621130076,2.75,MX
sivas,39.7916,37.0019,51.8,54,0,1621130077,5.75,TR
weiser,44.251,-116.9693,86.0,12,1,1621130077,12.66,US
port keats,-14.25,129.55,83.82,22,2,1621130077,14.12,AU
connersville,39.6412,-85.1411,63.0,51,75,1621130077,3.44,US
flin flon,54.7682,-101.865,54.97,58,56,1621130078,10.71,CA
talaya,61.3833,152.75,39.69,73,97,1621130078,9.71,RU
sauda,59.6506,6.3542,46.99,94,100,1621130078,7.0,NO
sept-iles,50.2001,-66.3821,42.01,87,75,1621129812,2.3,CA
bubaque,11.2833,-15.8333,77.27,84,83,1621130079,11.83,GW
okhotsk,59.3833,143.3,38.66,83,100,1621130079,19.69,RU
fairbanks,64.8378,-147.7164,62.6,39,20,1621130023,8.05,US
grand-santi,4.25,-54.3833,72.9,99,100,1621130079,2.3,GF
nemuro,43.3236,145.575,53.6,94,75,1621130079,12.66,JP
beira,-19.8436,34.8389,68.0,100,0,1621130080,7.23,MZ
nouadhibou,20.931,-17.0347,66.2,88,0,1621130080,17.27,MR
abapo,-18.8333,-63.4667,67.33,64,100,1621129883,2.15,BO
la asuncion,11.0333,-63.8628,80.6,89,10,1621130080,20.71,VE
karangasem,-8.45,115.6167,84.2,79,40,1621130081,14.97,ID
kedrovyy,56.1667,91.8167,46.4,93,75,1621130081,3.89,RU
milkovo,54.7167,158.6167,53.58,35,100,1621130081,4.29,RU
beipiao,41.7919,120.7792,70.2,21,100,1621130081,14.81,CN
guiren,33.6697,118.1889,56.93,93,100,1621130082,14.92,CN
zomba,-15.386,35.3188,58.86,76,61,1621130082,2.04,MW
kang,-23.6752,22.7876,57.43,39,0,1621130082,7.7,BW
salvatierra,20.2167,-100.8833,71.6,53,75,1621130082,9.22,MX
tazovskiy,67.4667,78.7,21.33,87,31,1621130083,2.08,RU
gladstone,-23.85,151.25,69.8,28,3,1621130083,9.22,AU
broome,42.2506,-75.833,60.8,36,90,1621130083,4.61,US
moerai,-22.4333,-151.3333,76.89,77,100,1621130084,7.61,PF
dauphin,51.1494,-100.0502,64.4,45,20,1621130084,9.22,CA
luau,-10.7073,22.2247,59.18,68,13,1621130144,4.07,AO
windhoek,-22.5594,17.0832,51.8,46,0,1621130144,3.44,NA
isoka,-10.1606,32.6335,55.51,94,3,1621130145,0.65,ZM
hami,42.8,93.45,75.67,14,100,1621130053,1.63,CN
kayerkan,69.3497,87.7602,16.5,92,100,1621130145,5.79,RU
zainsk,55.3195,52.0694,69.8,30,0,1621130145,11.18,RU
berlevag,70.8578,29.0864,34.65,83,100,1621130064,19.55,NO
dayong,25.0209,118.2898,87.8,62,0,1621130146,8.95,CN
lang son,21.8333,106.7333,84.99,70,48,1621130146,10.11,VN
hovd,48.0056,91.6419,56.5,28,16,1621130146,2.77,MN
pedernales,18.0384,-71.744,78.82,79,4,1621130146,7.78,DO
kendari,-3.945,122.4989,80.82,82,98,1621130147,1.77,ID
port macquarie,-31.4333,152.9167,66.0,52,0,1621130147,1.99,AU
churapcha,62.0025,132.4325,50.54,59,100,1621130147,12.06,RU
kyabe,9.4515,18.9449,77.83,69,73,1621130147,4.45,TD
were ilu,10.6,39.4333,52.09,82,46,1621130148,2.19,ET
anyama,5.4946,-4.0518,82.4,89,20,1621130148,8.05,CI
lucapa,-8.4192,20.7447,64.81,71,7,1621130148,3.8,AO
sinjai,-5.1241,120.253,83.03,73,100,1621130149,3.67,ID
awbari,26.5921,12.7805,78.15,18,6,1621130149,11.41,LY
sarkand,45.41,79.9186,58.06,50,41,1621130149,1.36,KZ
besikduzu,41.052,39.2284,59.0,72,0,1621130149,4.41,TR
kendal,54.3268,-2.7476,48.0,95,100,1621130150,1.01,GB
santa rosalia,27.3167,-112.2833,77.68,35,1,1621130150,11.81,MX
chake chake,-5.2459,39.7666,76.6,84,85,1621130150,9.86,TZ
catamarca,-28.4696,-65.7852,64.99,74,100,1621130150,6.04,AR
krasnorechenskiy,44.6265,135.3532,64.94,34,96,1621130151,7.09,RU
port hedland,-20.3167,118.5667,80.6,26,0,1621130151,17.27,AU
nongstoin,25.5167,91.2667,70.14,76,5,1621130151,5.32,IN
sao geraldo do araguaia,-6.4006,-48.555,72.23,95,100,1621130151,0.43,BR
san jose,37.3394,-121.895,64.99,59,75,1621130152,11.5,US
ilebo,-4.3167,20.5833,70.99,89,30,1621130152,0.92,CD
juegang,32.3174,121.1855,74.01,89,100,1621130152,9.46,CN
makokou,0.5738,12.8642,69.91,98,100,1621130153,0.74,GA
porangatu,-13.4408,-49.1486,69.28,62,50,1621130153,2.48,BR
port lincoln,-34.7333,135.8667,59.32,62,98,1621130153,9.13,AU
acapulco,16.8634,-99.8901,86.0,74,40,1621130153,10.36,MX
turkistan,43.0,68.0,67.35,28,0,1621130154,28.52,KZ
gizo,-8.103,156.8419,85.69,67,98,1621130154,3.49,SB
qaqortoq,60.7167,-46.0333,41.0,38,6,1621130154,4.61,GL
iquique,-20.2208,-70.1431,64.4,72,90,1621130049,8.05,CL
umea,63.8284,20.2597,42.8,100,90,1621130155,4.61,SE
angoche,-16.2325,39.9086,70.93,84,79,1621130155,2.42,MZ
los llanos de aridane,28.6585,-17.9182,68.0,77,0,1621130155,14.97,ES
pimentel,-6.8367,-79.9342,64.99,84,12,1621130155,3.0,PE
palauig,15.435,119.9045,89.24,59,6,1621130156,5.59,PH
cayeli,41.0923,40.7292,64.99,64,35,1621130156,3.53,TR
opochka,56.7105,28.6617,48.16,97,40,1621130156,4.34,RU
jiayuguan,39.8167,98.3,63.0,23,59,1621130138,7.02,CN
la palma,33.8464,-118.0467,66.2,72,1,1621130157,12.66,US
north bend,43.4065,-124.2243,52.0,87,90,1621130157,18.41,US
katangli,51.7102,143.2326,51.46,74,92,1621130157,19.22,RU
sisimiut,66.9395,-53.6735,34.36,89,100,1621130157,5.08,GL
nouakchott,18.0858,-15.9785,68.0,88,0,1621130158,16.11,MR
bowen,-20.0167,148.2333,73.4,38,0,1621129927,14.97,AU
calvinia,-31.4707,19.776,50.74,89,85,1621130158,10.65,ZA
acarau,-2.8856,-40.12,76.8,84,100,1621129889,8.32,BR
batagay-alyta,67.8006,130.4114,46.92,49,7,1621130168,3.76,RU
mercedes,-34.6515,-59.4307,51.01,97,73,1621130218,4.52,AR
contamana,-7.3333,-75.0167,72.3,96,72,1621130219,0.83,PE
joacaba,-27.1781,-51.5047,51.08,96,0,1621130219,2.98,BR
menzelinsk,55.7271,53.1026,69.8,30,0,1621130219,11.18,RU
la ronge,55.1001,-105.2842,51.8,87,100,1621130200,9.22,CA
benghazi,32.1167,20.0667,65.21,74,5,1621130219,13.94,LY
tricase,39.9304,18.3553,60.01,100,0,1621130220,3.44,IT
antigonish,45.6169,-61.9986,46.99,84,75,1621130220,2.93,CA
peniche,39.3558,-9.3811,62.01,94,71,1621130220,5.99,PT
dalbandin,28.8947,64.4101,80.65,12,6,1621130221,3.09,PK
dicabisagan,17.0818,122.4157,87.91,64,4,1621130221,8.03,PH
okato,-39.2,173.8833,57.99,92,100,1621130221,8.99,NZ
muravlenko,63.7898,74.523,35.19,85,100,1621130221,9.64,RU
la grande,45.3246,-118.0877,68.0,28,1,1621130222,4.61,US
itaituba,-4.2761,-55.9836,78.39,78,62,1621130222,1.28,BR
xai-xai,-25.0519,33.6442,65.28,51,0,1621130222,9.33,MZ
tabory,58.5198,64.5495,67.42,63,92,1621130222,6.85,RU
shenzhen,22.5455,114.0683,88.0,79,20,1621130047,13.42,CN
turayf,31.6725,38.6637,69.8,32,0,1621130223,11.5,SA
hare bay,48.8499,-54.0148,39.2,81,100,1621130223,1.14,CA
morros,-9.4467,-46.3003,75.65,57,100,1621130223,2.08,BR
sim,54.993,57.6982,65.97,60,86,1621130223,2.84,RU
bilibino,68.0546,166.4372,34.36,80,86,1621130224,1.57,RU
puerto madryn,-42.7692,-65.0385,55.2,45,99,1621130224,6.78,AR
vasto,42.1243,14.7059,66.2,42,20,1621130224,10.36,IT
jiuquan,39.7432,98.5174,65.48,22,80,1621130224,5.55,CN
lenggries,47.6833,11.5667,39.99,91,93,1621130225,3.8,DE
santa lucia,27.9117,-15.5407,70.0,73,20,1621130225,20.71,ES
curuguaty,-24.4694,-55.6945,66.87,68,75,1621130225,3.11,PY
bang saphan,11.2126,99.5117,87.01,94,20,1621130226,1.14,TH
khani,41.9563,42.9566,53.6,94,0,1621130226,2.3,GE
luderitz,-26.6481,15.1594,60.75,89,36,1621130135,5.17,NA
ayagoz,47.9714,80.4392,59.79,52,2,1621130226,8.79,KZ
eenhana,-17.4667,16.3333,59.0,72,2,1621130226,4.88,NA
coari,-4.085,-63.1414,74.28,95,100,1621130227,2.53,BR
konstantinovka,49.6167,127.9833,65.79,30,0,1621130227,12.17,RU
kano,12.0001,8.5167,84.94,42,100,1621130227,7.65,NG
kupang,-10.1667,123.5833,84.2,58,20,1621130228,16.11,ID
gigmoto,13.7796,124.39,85.17,73,95,1621130228,8.1,PH
kaya,13.0917,-1.0844,90.37,35,88,1621130228,4.32,BF
khandyga,62.6667,135.6,58.95,37,31,1621130228,3.24,RU
buraydah,26.326,43.975,84.2,20,0,1621130229,6.91,SA
hay river,60.8156,-115.7999,33.8,100,90,1621130229,4.61,CA
maceio,-9.6658,-35.7353,75.2,88,20,1621129979,4.61,BR
winnemucca,40.973,-117.7357,64.4,36,90,1621130229,3.44,US
cayenne,4.9333,-52.3333,77.0,100,90,1621130230,2.3,GF
the valley,18.217,-63.0578,80.01,83,5,1621130092,3.0,AI
suntar,62.1444,117.6319,46.81,47,95,1621130230,10.92,RU
usa river,-3.3667,36.85,60.98,95,52,1621130098,1.77,TZ
kuteynykove,47.8123,38.2882,58.06,71,0,1621130230,6.15,UA
kokstad,-30.5472,29.4241,53.1,41,5,1621130230,5.44,ZA
severodvinsk,64.5635,39.8302,50.0,87,20,1621130063,11.18,RU
baykit,61.67,96.37,33.49,53,33,1621130187,9.71,RU
loa janan,-0.583,117.095,84.78,75,87,1621130231,3.33,ID
nampula,-15.1165,39.2666,66.2,100,90,1621129932,4.61,MZ
klyuchevskiy,53.5317,119.4519,57.18,26,7,1621130291,10.83,RU
gerede,40.8008,32.1969,47.64,83,98,1621130291,3.29,TR
